brottstyp_id;namn;niva;grupp_id;grupp;sokvag
14368;Obekanta;2;5246;Sexuellt övergrepp (2 §) (Fr. o. m. 2019);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Sexuellt övergrepp (2 §) (Fr. o. m. 2019), Mot man 18 år eller äldre, Obekanta
11339;Sexuellt tvång, utnyttjande m.m. (5-6 §) (2, 3, 7 § t.o.m. 2019);0;11339;Sexuellt tvång, utnyttjande m.m. (5-6 §) (2, 3, 7 § t.o.m. 2019);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Sexuellt tvång, utnyttjande m.m. (5-6 §) (2, 3, 7 § t.o.m. 2019)
11339;Sexuellt tvång, utnyttjande m.m. (5-6 §) (2, 3, 7 § t.o.m. 2019);1;11093;6 kap. Sexualbrott;Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Sexuellt tvång, utnyttjande m.m. (5-6 §) (2, 3, 7 § t.o.m. 2019)
13150;Sexuellt tvång, utnyttjande m.m (2, 3, 5, 7 §);1;11339;Sexuellt tvång, utnyttjande m.m. (5-6 §) (2, 3, 7 § t.o.m. 2019);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Sexuellt tvång, utnyttjande m.m. (5-6 §) (2, 3, 7 § t.o.m. 2019), Sexuellt tvång, utnyttjande m.m (2, 3, 5, 7 §)
13151;Sexuellt utnyttjande av barn under 15 år (5 § );2;11339;Sexuellt tvång, utnyttjande m.m. (5-6 §) (2, 3, 7 § t.o.m. 2019);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Sexuellt tvång, utnyttjande m.m. (5-6 §) (2, 3, 7 § t.o.m. 2019), Sexuellt tvång, utnyttjande m.m (2, 3, 5, 7 §), Sexuellt utnyttjande av barn under 15 år (5 § )
13155;Mot flicka under 15 år;3;11339;Sexuellt tvång, utnyttjande m.m. (5-6 §) (2, 3, 7 § t.o.m. 2019);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Sexuellt tvång, utnyttjande m.m. (5-6 §) (2, 3, 7 § t.o.m. 2019), Sexuellt tvång, utnyttjande m.m (2, 3, 5, 7 §), Sexuellt utnyttjande av barn under 15 år (5 § ), Mot flicka under 15 år
13156;Mot pojke under 15 år;3;11339;Sexuellt tvång, utnyttjande m.m. (5-6 §) (2, 3, 7 § t.o.m. 2019);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Sexuellt tvång, utnyttjande m.m. (5-6 §) (2, 3, 7 § t.o.m. 2019), Sexuellt tvång, utnyttjande m.m (2, 3, 5, 7 §), Sexuellt utnyttjande av barn under 15 år (5 § ), Mot pojke under 15 år
13152;Mot barn 15-17 år (5 §) (2, 3, 7 § t.o.m. 2018-06);2;11339;Sexuellt tvång, utnyttjande m.m. (5-6 §) (2, 3, 7 § t.o.m. 2019);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Sexuellt tvång, utnyttjande m.m. (5-6 §) (2, 3, 7 § t.o.m. 2019), Sexuellt tvång, utnyttjande m.m (2, 3, 5, 7 §), Mot barn 15-17 år (5 §) (2, 3, 7 § t.o.m. 2018-06)
13157;Mot flicka 15-17 år;3;11339;Sexuellt tvång, utnyttjande m.m. (5-6 §) (2, 3, 7 § t.o.m. 2019);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Sexuellt tvång, utnyttjande m.m. (5-6 §) (2, 3, 7 § t.o.m. 2019), Sexuellt tvång, utnyttjande m.m (2, 3, 5, 7 §), Mot barn 15-17 år (5 §) (2, 3, 7 § t.o.m. 2018-06), Mot flicka 15-17 år
13158;Mot pojke 15-17 år;3;11339;Sexuellt tvång, utnyttjande m.m. (5-6 §) (2, 3, 7 § t.o.m. 2019);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Sexuellt tvång, utnyttjande m.m. (5-6 §) (2, 3, 7 § t.o.m. 2019), Sexuellt tvång, utnyttjande m.m (2, 3, 5, 7 §), Mot barn 15-17 år (5 §) (2, 3, 7 § t.o.m. 2018-06), Mot pojke 15-17 år
