brottskod;benamning;upphord;kodgrupp
0513;Ärekänkningsbrott mot man 18 år eller äldre, ej internetrelaterat;;05 - 07
0601;Våldtäkt, även grov, mot barn under 15 år (upphörde år 1976);1976;05 - 07
0602;Våldtäkt, även grov, mot person 15 år eller äldre (upphörde år 1976);1976;05 - 07
0603;Heterosexuell otukt med barn under 15 år (upphörde år 1987);1987;05 - 07
0604;Heterosexuell otukt med person 15 år eller äldre (upphörde år 1987);1987;05 - 07
0605;Homosexuell otukt med barn under 15 år (upphörde år 1987);1987;05 - 07
0606;Homosexuell otukt med person 15 år eller äldre (upphörde år 1987);1987;05 - 07
0607;Sexuellt ofredande, exhibitionism;;05 - 07
0608;Otuktigt beteende, ej exhibitionism (upphörde år 1987);1987;05 - 07
0609;Koppleri, inkl. grovt;;05 - 07
0610;Utnyttjande av barn genom köp av sexuell handling;;05 - 07
0611;Utnyttjande av barn för sexuell posering (upphörde år 2024);2024;05 - 07
0613;(upphörde år 2018) Sexuellt tvång inkl. grovt, sexuellt utnyttjande av person i beroendeställning inkl. grovt, samlag med avkomling eller syskon, mot kvinna 18 år eller äldre;2018;05 - 07
0614;(upphörde år 2018) Sexuellt tvång inkl. grovt, sexuellt utnyttjande av person i beroendeställning inkl. grovt, samlag med avkomling eller syskon, mot man 18 år eller äldre;2018;05 - 07
0615;(upphörde år 2018) Sexuellt tvång inkl. grovt, sexuellt utnyttjande av person i beroendeställning inkl. grovt, samlag med avkomling eller syskon, mot flicka 15-17 år;2018;05 - 07
0616;(upphörde år 2018) Sexuellt tvång inkl. grovt, sexuellt utnyttjande av person i beroendeställning inkl. grovt, samlag med avkomling eller syskon, mot pojke 15-17 år;2018;05 - 07
0621;Försök till våldtäkt, utomhus mot barn under 15 år (upphörde år 2007);2007;05 - 07
0622;Försök till våldtäkt, utomhus mot person 15 år el äldre(upphörde år 2007);2007;05 - 07
0623;Försök till våldtäkt, inomhus mot barn under 15 år (upphörde år 2007);2007;05 - 07
0624;Försök till våldtäkt, inomhus mot person 15 år el äldre(upphörde år 2007);2007;05 - 07
0625;Fullbordad våldtäkt, utomhus mot barn under 15 år (upphörde år 2007);2007;05 - 07
